role,chapter_count,line_count,dominant_gender,dominant_feature,design_prompt,design_language,clone_ref_audio_path,clone_ref_text,clone_language,selection_notes
清尘仙子,7,18,女,柔声细语,音质细腻，音色成熟不尖，音调中，特色是权威温和并存。,zh,,,zh,
素女,7,6,女,,音质清晰，音色学生感，音调中高，特色是短句干脆。,zh,,,zh,
云知秋,6,30,男,,音质干净，音色青春活力，音调中高，特色是惊讶时气息明显。,zh,,,zh,
欧阳烽,6,16,男,神色冷峻,音质偏干，音色狠厉，音调中低，特色是咬字重。,zh,,,zh,
姬雄英,5,43,男,洪亮,音质微砂，音色硬朗，音调中低，特色是正气克制。,zh,,,zh,
重光真人,5,31,男,霸道,音质低频饱满，音色黑暗，音调低，特色是压线耳语。,zh,,,zh,
王柏荣,5,29,男,老年,老年男声，音质粗粝，音色残忍，音调低，特色是咬字狠厉。,zh,,,zh,
欧阳昊泽,4,34,男,杀意横生,音质颗粒明显，音色粗粝，音调低，特色是怒意内敛。,zh,,,zh,
明禅,3,21,男,苍老,苍老男声，音质干硬，音色冷酷无情，音调低，特色是尾音下压。,zh,,,zh,
王泊远,3,19,男,,音质低沉带砂，音色阴冷，音调低，特色是压迫式停顿。,zh,,,zh,
吴志冲,3,12,男,,音质厚重，音色老谋深算，音调中低，特色是慢条斯理威胁。,zh,,,zh,
重光,3,1,男,,音质自然，音色普通中年男性，音调中，特色是生活化表达。,zh,,,zh,
端木元,3,0,男,,音质清晰，音色略厚，音调中低，特色是语速平常。,zh,,,zh,
清尘,2,22,女,轻柔魅惑,音质细亮，音色诡魅少女，音调中高，特色是无辜感伪装。,zh,,,zh,
伏龙罗汉,2,20,男,,音质清楚，音色沉稳，音调中低，特色是关键字有力。,zh,,,zh,
黑衣道人,2,14,男,阴戾,音质暗哑，音色毒辣，音调低，特色是冷笑短促。,zh,,,zh,
中年男子,2,13,男,,中年男声，音质清楚，音色成熟普通，音调中，特色是应答简洁。,zh,,,zh,
弟子,2,10,男,,音质明净，音色朴素，音调中，特色是吐字直接。,zh,,,zh,
陈舒倩,2,8,女,,音质通透，音色柔亮，音调中高，特色是紧张时语尾轻颤。,zh,,,zh,
黑袍道人,2,8,男,,音质微哑，音色暗冷，音调中低，特色是低声挑衅。,zh,,,zh,
神像,2,6,男,,音质厚实偏干，音色老年男声，音调中低，特色是慢节奏。,zh,,,zh,
青年,2,6,男,,音质轻干，音色偏年轻，音调中高，特色是反应快但不夸张。,zh,,,zh,
圣宗弟子,2,5,男,,音质平实，音色中性少年，音调中，特色是旁白式。,zh,,,zh,
系统,2,5,男,,音质自然，音色路人感，音调中，特色是情绪平。,zh,,,zh,
老人,2,5,男,苍老,音质自然微哑，音色普通老年女性，音调中低，特色是家常感。,zh,,,zh,
路人,2,4,男,,音质平实，音色市井感，音调中，特色是口头语自然。,zh,,,zh,
神武门弟子,2,2,男,,音质自然，音色路人感，音调中，特色是情绪平。,zh,,,zh,
盘龙真人,2,0,男,,音质扎实，音色成熟，音调中，特色是战术口吻理性。,zh,,,zh,
藏书阁老人,1,21,男,低沉,老人声音，音质沉稳，音色老练，音调中低，特色是信服力强。,zh,,,zh,
白无常,1,16,男,,音质暗哑，音色阴森，音调中低，特色是贴耳低语压迫。,zh,,,zh,
飞霞,1,16,女,,音质轻盈，音色邻家少女，音调中高，特色是安抚感强、语速平稳。,zh,,,zh,
伏龙,1,12,男,,音质清楚，音色沉稳，音调中低，特色是关键字有力。,zh,,,zh,
作者,1,12,男,,音质自然偏粗，音色普通，音调中低，特色是真实对白。,zh,,,zh,
花甲老人,1,8,男,花甲老人，语气淡淡,音质自然微哑，音色普通老年男性，音调中低，特色是慢速日常。,zh,,,zh,
为首的黑衣人,1,7,男,,音质清楚，音色成熟普通，音调中，特色是应答简洁。,zh,,,zh,
修士,1,6,男,,音质干净，音色普通，音调中，特色是不带情绪渲染。,zh,,,zh,
弟子令牌,1,6,男,,音质清楚，音色邻家男生，音调中，特色是礼貌而简短。,zh,,,zh,
陈皓,1,6,男,热情,音质干净通透，音色清亮少年感，音调中高，特色是热血克制、句尾有上扬希望感。,zh,,,zh,
黑无常,1,6,男,,音质低频重，音色老枭雄，音调低，特色是命令感强。,zh,,,zh,
少年,1,5,男,,音质明亮少噪，音色偏薄但有韧性，音调中高，特色是真诚直给、情绪起伏自然。,zh,,,zh,
神武门真人,1,5,男,,音质温厚，音色可靠，音调中低，特色是情绪稳定。,zh,,,zh,
众天人,1,4,男,嘶哑,音质暗哑，音色毒辣，音调低，特色是冷笑短促。,zh,,,zh,
记名弟子,1,4,男,,音质略薄，音色学生感，音调中高，特色是略带拘谨。,zh,,,zh,
丁飞鹰,1,3,男,,音质清亮适中，音色干练，音调中，特色是节奏稳。,zh,,,zh,
听幽教长老,1,3,男,,音质平稳，音色老年路人，音调低，特色是慢而稳。,zh,,,zh,
宗门公告,1,3,男,,平稳空灵的系统声音,zh,,,zh,
师兄灵魂,1,3,男,,音质通透，音色书卷感少年男声，音调中，特色是礼貌克制、尾音收紧。,zh,,,zh,
王松,1,3,男,,音质饱满，音色宽厚，音调中，特色是安抚感明显。,zh,,,zh,
英武女子,1,3,女,英武女子，凤目锐意,音质清晰，音色温软，音调中，特色声音坚定有力量。,zh,,,zh,
丫鬟,1,2,女,清脆,音质清亮，音色普通少女，音调中高，特色是自然聊天感。,zh,,,zh,
众弟子,1,2,男,,音质自然少修饰，音色普通，音调中，特色是真实聊天感。,zh,,,zh,
太霄镜,1,2,男,奶气,奶声奶气的幼童音,zh,,,zh,
接引弟子,1,2,女,,音质干净，音色清淡，音调中，特色是语速正常、无戏剧腔。,zh,,,zh,
日夜游神,1,2,男,,音质厚而不闷，音色低磁，音调中低，特色是包容感。,zh,,,zh,
日游神,1,2,男,,音质厚而不闷，音色低磁，音调中低，特色是包容感。,zh,,,zh,
未知声音,1,2,女,,音质柔滑偏冷，音色蛇蝎美人，音调中，特色是笑中带刺。,zh,,,zh,
补天峰弟子,1,2,女,,音质自然，音色邻家女生，音调中，特色是情绪平稳。,zh,,,zh,
道人,1,2,男,,音质微哑，音色暗冷，音调中低，特色是低声挑衅。,zh,,,zh,
陈良,1,2,男,孩童音,孩童音，音质细净，音色轻柔，音调中高，特色是语气礼貌。,zh,,,zh,
魏云,1,2,男,,音质清楚，音色沉稳，音调中低，特色是关键字有力。,zh,,,zh,
中年道士,1,1,男,,音质中性，音色路人，音调中，特色是短句直接。,zh,,,zh,
众人,1,1,男,,音质轻砂，音色劳作感，音调中低，特色是朴实。,zh,,,zh,
值守弟子,1,1,女,,音质清晰，音色普通偏亮，音调中，特色是问句尾音轻上扬。,zh,,,zh,
吴志冲/端木元,1,1,男,,音质微哑，音色暗冷，音调中低，特色是低声挑衅。,zh,,,zh,
敌人,1,1,男,,音质清但冷，音色锋利，音调中高，特色是轻声威胁。,zh,,,zh,
未知修士,1,1,女,,音质丝滑，音色甜冷反差，音调中高，特色是魅惑引诱、尾音黏连。,zh,,,zh,
武道天人,1,1,男,,音质温润，音色磁性中年男声，音调中低，特色是领导者气质。,zh,,,zh,
牛头,1,1,男,,音质沉闷，音色危险感，音调低，特色是尾音压低。,zh,,,zh,
玄苦,1,1,男,,音质厚而不闷，音色低磁，音调中低，特色是包容感。,zh,,,zh,
老杂役,1,1,男,,音质粗粝轻微，音色朴实，音调中低，特色是接地气。,zh,,,zh,
重明,1,1,男,,音质颗粒明显，音色粗粝，音调低，特色是怒意内敛。,zh,,,zh,
英武少年,1,1,男,,音质厚实清晰，音色成熟稳重，音调中低，特色是可靠感强。,zh,,,zh,
长老,1,1,男,,音质自然，音色中性偏老，音调中低，特色是不抢戏。,zh,,,zh,
门人,1,1,男,,音质真实，音色老年市民感，音调低，特色是背景对白。,zh,,,zh,
魂影,1,1,男,,音质沙哑，音色枭雄感，音调中低，特色是威逼利诱并用。,zh,,,zh,
魏铁衣,1,1,男,洪亮,音质细节丰富，音色成熟男中音声音洪亮，音调中低，特色是信念感强。,zh,,,zh,
黑衣人,1,1,男,,音质平稳，音色老年路人，音调低，特色是慢而稳。,zh,,,zh,
世尊,1,0,男,,男声，音质温润，音色磁性中年男声，音调中低，特色是领导者气质。,zh,,,zh,
听幽教八位长老,1,0,,,,zh,,,zh,
天吴道庭,1,0,,,,zh,,,zh,
师尊,1,0,,,,zh,,,zh,
执法堂弟子,1,0,男,,,zh,,,zh,
江西释修,1,0,,,,zh,,,zh,
清河仙子,1,0,女,,中年女声，音质丝绒质感，音色冷艳，音调中，特色是魅惑引诱与掌控感。,zh,,,zh,
玉枢剑阁真人,1,0,,,,zh,,,zh,
秦宇,1,0,,,,zh,,,zh,
释修净土,1,0,,,,zh,,,zh,
鸿运,1,0,,,,zh,,,zh,
